wafer_entity_start_date,ENT,Layer,Revison,Coater,zone,chart_value,
26/12/2021 12:19,TB152,13800,Rev A,3,-1,3065.7,
18/11/2021 09:43,TB153,4500,Rev A,4,1,5.106666667,
18/11/2021 09:43,TB154,4500,Rev A,4,1,1001.493333,
18/11/2021 10:22,TB155,4500,Rev A,3,999,4.273333333,
18/11/2021 10:22,TB156,4500,Rev A,3,-1,999.7533333,
19/11/2021 09:28,TB157,8400,Rev A,3,999,5.173333333,
19/11/2021 09:28,TB158,8400,Rev A,3,1,1870.066667,
19/11/2021 09:28,TB159,8400,Rev A,4,999,7.053333333,
19/11/2021 09:28,TB160,8400,Rev A,4,1,1867.386667,
23/11/2021 00:17,TB161,4500,Rev A,3,1,4.473333333,
23/11/2021 00:17,TB162,4500,Rev A,3,2,1002.313333,
23/11/2021 00:17,TB163,4500,Rev A,4,2,5.306666667,
23/11/2021 00:17,TB164,4500,Rev A,4,-1,999.3733333,
23/11/2021 01:42,TB165,6300,Rev A,3,999,3.58,
23/11/2021 01:42,TB166,6300,Rev A,3,-2,1394.073333,
23/11/2021 01:57,TB167,6300,Rev A,4,2,5.526666667,
23/11/2021 01:57,TB168,6300,Rev A,4,-2,1393.086667,
23/11/2021 02:03,TB169,8400,Rev A,3,999,7.053333333,
23/11/2021 02:03,TB170,8400,Rev A,3,-1,1860.7,
23/11/2021 02:04,TB171,8400,Rev A,4,999,5.346666667,
23/11/2021 02:04,TB172,8400,Rev A,4,-2,1857.66,
26/11/2021 09:38,TB173,4500,Rev A,3,999,4.286666667,
26/11/2021 09:38,TB174,4500,Rev A,3,1,1000.726667,
26/11/2021 09:53,TB175,4500,Rev A,4,999,4.133333333,
26/11/2021 09:53,TB176,4500,Rev A,4,-1,998.6466667,
26/11/2021 10:37,TB177,4500,Rev C,3,999,3.666666667,
26/11/2021 10:37,TB178,4500,Rev C,3,-1,999.4466667,
26/11/2021 10:37,TB179,4500,Rev C,4,1,4.793333333,
26/11/2021 10:37,TB180,4500,Rev C,4,-2,996.8533333,
27/11/2021 09:22,TB181,6300,Rev A,3,999,4.2,
27/11/2021 09:22,TB182,6300,Rev A,3,-4,1384.82,
27/11/2021 09:22,TB183,6300,Rev A,4,3,6.36,
27/11/2021 09:22,TB184,6300,Rev A,4,-2,1394.153333,
27/11/2021 09:44,TB185,6300,Rev A,3,999,3.68,
27/11/2021 09:44,TB186,6300,Rev A,3,-1,1396.406667,
27/11/2021 10:04,TB187,6300,Rev C,3,999,3.986666667,
27/11/2021 10:04,TB188,6300,Rev C,3,-4,1385.073333,
27/11/2021 10:05,TB189,6300,Rev C,4,3,6.353333333,
27/11/2021 10:05,TB190,6300,Rev C,4,-1,1399.406667,
27/11/2021 12:23,TB191,6300,Rev C,3,999,4.033333333,
27/11/2021 12:23,TB192,6300,Rev C,3,-1,1399.3,
27/11/2021 13:09,TB193,6300,Rev A,3,999,3.5,
27/11/2021 13:09,TB194,6300,Rev A,3,-2,1392.073333,
28/11/2021 16:32,TB195,6300,Rev A,4,1,4.36,
28/11/2021 16:32,TB196,6300,Rev A,4,-4,1385.6,
28/11/2021 16:33,TB197,6300,Rev C,4,2,5.406666667,
28/11/2021 16:33,TB198,6300,Rev C,4,-3,1388.733333,
28/11/2021 16:39,TB199,4500,Rev A,4,1,4.42,
28/11/2021 16:39,TB200,4500,Rev A,4,-1,999.9466667,
28/11/2021 16:47,TB201,8400,Rev A,4,999,6.06,
28/11/2021 16:47,TB202,8400,Rev A,4,-1,1860.18,
28/11/2021 16:47,TB203,8400,Rev C,4,999,6,
28/11/2021 16:47,TB204,8400,Rev C,4,-1,1861.226667,
28/11/2021 17:20,TB205,6300,Rev A,4,1,4.533333333,
